Comedogenicity Rating 0-1,Comedogenicity Rating 2-3,Comedogenicity Rating 4-5
Acetone (0),A & D additive (2),Acetylated lanolin alcohol (4-5)
Acetylated lanolin (0),Ascorbyl palmitate (2),Cetearyl alcohol + ceteareth-20 (4)
Allantoin (0),Butyl stearate (3),Cetyl acetate (4)
Almond oil (1-2),Capric acid (2),Cocoa butter (4)
Aminomethylpropylamine (0),Ceteareth-20 (2),Coconut butter (4)
Ammonium lauryl sulfate (10%) (0),Cetearyl alcohol (2),Ethylhexyl palmitate (4)
Anhydrous lanolin (0-1),Cetyl alcohol (2),Glyceryl-3-diisostearate (4)
Apricot kernel oil (1-2),Cotton seed oil (3),Isocetyl alcohol (4)
Archidic acid (1-2),D & C red #17 (3),Isopropyl isostearate (4-5)
Avocado oil (0-3),D & C red #19 (2),Isopropyl linoleate (4-5)
Babassu oil (1),D & C red #21 (2),Isopropyl myristate (5)
Beeswax (0-2),D & C red #27 (2),Isostearyl isostearate (4)
Behenic acid (0),D & C red #3 (3),Lanolin acid (4)
Behenyl erucate (0),D & C red #30 (3),Laureth-4 (5)
Behenyl triglyceride (0),D & C red #36 (3),Lauric acid (4)
Bentonite (0),D & C red #4 (2),Myristyl lactate (4)
Black walnut extract (0),D & C red #40 (2),Myristyl myristate (5)
Butylene glycol (1),Decyl oleate (3),Oleth-3 (5)
Candelilla wax (1),Di-(2-ethylhexyl) succinate (2),Oleyl alcohol (4)
Caproic acid (0-2),Dioctyl malate (3),PEG-16 lanolin (Solulan 16) (4)
Caprylic acid (1),Dioctyl succinate (3),Polyglyceryl-3-diisostearate (4)
Carbomer 940 (1),Eicosanoic acid (2),PPG-5 ceteth-10 phosphate (4)
Carboxymethylcellulose (0),Ethylhexyl pelargonate (2),Steareth-10 (4)
Carboxypropylcellulose (1),Evening primrose oil (3),Stearyl heptanoate (4)
Carmine (0),Glyceryl stearate SE (3),Xylene (4)
Carnuba wax (1),Grape seed oil (2-3),
Castor oil (0-1),Hydrogenated vegetable oil (3),
Ceresin wax (0),Isopropyl lanolate (3),
Cetyl ester NF (1),Isopropyl myristate (50%) (3-4),
Cetyl palmitate (0),Isopropyl palmitate (3-4),
Chamomile extract (0),Isostearyl neopentanoate (3),
Chaulmoogra oil (1),Laneth-10 (2),
Cholesterol (0),Laureth-23 (3),
Chondroitin sulfate (0),Mink oil (2-3),
Coleth-24 (0),Myristic acid (3),
Corn oil (0-3),Myristyl alcohol (2),
Cyclomethicone (0),Octyl palmitate (2-3),
D & C red #33 (1),Oleth-10 (2),
D & C red #6 (1),Oleth-3 phosphate (2),
D & C red #7 (1),Oleth-5 (3),
D & C red #9 (1),Palmitic acid (2),
Diethylene glycol monoethyl ether (EGME) (0),Peach kernel oil (2),
Diisopropyl adipate (0),Peanut oil (2),
Diisopropyl dimerate (0),PEG-100 distearate (2),
Dimethicone (1),PEG-150 distearate (2),
Emulsifying wax NF (0),PEG-200 dilaurate (3),
Ethyl ether (0),PEG-8 stearate (3),
Ethylene glycol monostearate (0),Pentaerythrital tetra isostearate (2),
Glucose glutamate (0),PG caprylate/caprate (2),
Glycereth-26 (0),PG dipelargonate (2),
Glycerin (0),Phytantriol (2),
Glyceryl stearate NSE (1),PPG-10 cetyl ether (3),
Glyceryl tricapylo/caprate (1),PPG-2 myristyl propionate (3),
Hexylene glycol (0-2),PPG-2 PEG-65 lanolin oil (2),
Hydantoin (0),Propylene glycol isostearate (3-4),
Hydrogenated castor oil (1),Sandalwood seed oil (2),
Hydrogenated polyisobutane (1),Sesame oil (unrefined) (3),
Hydrolyzed animal protein (0),Shark liver oil (3),
Hydroxypropylcellulose (1),Sorbitan oleate (3),
Iron oxides (0),Soybean oil (3),
Isocetyl stearate (0-1),Steareth-2 (2),
Isodecyl oleate (1-3),Steareth-20 (2),
Isopropyl alcohol (0),Stearic acid (2-3),
Jojoba oil (0-2),Stearic acid:TEA (3),
Kaolin (0),Stearyl alcohol (2),
Lanolin alcohol (0-2),Sulfated jojoba oil (3),
Lanolin oil (0-1),Sweet almond oil (3),
Lanolin wax (1),Triethanolamine (2),
Lithium stearate (1),Water soluble sulfur (3),
Magnesium aluminium silicate (0),Wheat germ glyceride (3),
Magnesium stearate (1),,
Maleated soybean oil (0),,
Methylparaben (0),,
Mineral oil (0-2),,
Myristyl myristate (50%) (0-1),,
Octoxynol-9 (0-1),,
Octyl dimethyl PABA (0),,
Octyl methoxycinnamate (0),,
Octyl salicylate (0),,
Octyldodecyl stearate (0),,
Octyldodecyl stearoyl stearate (0),,
Oleth-20 (0),,
Olive oil (0-2),,
Oxybenzone (0),,
Panthenol (0),,
Papain (0),,
PEG-10 soya sterol (0),,
PEG-100 stearate (0),,
PEG-120 methyl glucose dioleate (0),,
PEG-20 stearate (1),,
PEG-40 castor oil (0),,
PEG-40 sorbitan laurate (0),,
PEG-5 soya sterol (0),,
PEG-75 lanolin (0),,
PEG-78 glyceryl monococoate (0),,
PEG-8 castor oil (1),,
Pentaerythrital tetra capra/caprylate (0),,
PG dicaprylate/caprate (1),,
PG laurate (0),,
PG monostearate (0-3),,
Phenoxyethyl paraben (0),,
Polyethylene glycol (PEG-400) (1),,
Polypentaerythrital tetralaurate (0),,
Polysorbate-20 (0),,
Polysorbate-80 (0),,
PPG-30 cetyl ester (0),,
PPG-50 cetyl ester (0),,
Precipitated sulfur (0),,
Propylene glycol (0),,
Propylparaben (0),,
PVP (0),,
Safflower oil (0-2),,
SD alcohol 40 (0),,
Sesame oil (refined) (1),,
Simethicone (1),,
Sodium hyaluronate (0),,
Sodium lauryl sulfate (10%) (0),,
Sodium lauryl sulfate (5%) (0),,
Sodium PCA (0),,
Sorbitan isostearate (1-2),,
Sorbitan laurate (1-2),,
Sorbitan sesquinoleate (0-1),,
Sorbitan stearate (0),,
Sorbitol (0),,
Soya sterol (0),,
Squalane (1),,
Steareth-100 (0),,
Sterol esters (0),,
Sucrose distearate (0),,
Sucrose stearate (0),,
Sunflower oil (0),,
Talc (1),,
Titanium dioxide (0),,
Tocopherol (0-3),,
Tocopheryl acetate (0),,
Triacetin (0),,
Tridectyl neopentanoate (0),,
Ultramarine violet (0),,
Vitamin A palmitate (1-3),,
Zinc oxide (1),,
Zinc stearate (0),
